INFORMATION STORAGE AND PROCESSING	RNA processing and modification	A
INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	J
INFORMATION STORAGE AND PROCESSING	Chromatin structure and dynamics	B
INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	L
INFORMATION STORAGE AND PROCESSING	Transcription	K
CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms	T
CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	M
CELLULAR PROCESSES AND SIGNALING	Extracellular structures	W
CELLULAR PROCESSES AND SIGNALING	Cell motility	N
CELLULAR PROCESSES AND SIGNALING	Nuclear structure	Y
CELLULAR PROCESSES AND SIGNALING	Defense mechanisms	V
CELLULAR PROCESSES AND SIGNALING	Cell cycle control, cell division, chromosome partitioning	D
CELLULAR PROCESSES AND SIGNALING	Cytoskeleton	Z
CELLULAR PROCESSES AND SIGNALING	Intracellular trafficking, secretion, and vesicular transport	U
CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	O
METABOLISM	Energy production and conversion	C
METABOLISM	Secondary metabolites biosynthesis, transport and catabolism	Q
METABOLISM	Inorganic ion transport and metabolism	P
METABOLISM	Coenzyme transport and metabolism	H
METABOLISM	Nucleotide transport and metabolism	F
METABOLISM	Lipid transport and metabolism	I
METABOLISM	Carbohydrate transport and metabolism	G
METABOLISM	Amino acid transport and metabolism	E
POORLY CHARACTERIZED	General function prediction only	R
POORLY CHARACTERIZED	Function unknown	S
